DATE,THREEFF6
2019-11-22,1.7947
2019-11-25,1.7853
2019-11-26,1.7586
2019-11-27,1.7786
2019-11-28,.
2019-11-29,1.7857
2019-12-02,1.8298
2019-12-03,1.7525
2019-12-04,1.7779
2019-12-05,1.8044
2019-12-06,1.8484
2019-12-09,1.8533
2019-12-10,1.8632
2019-12-11,1.8237
2019-12-12,1.8991
2019-12-13,1.8574
2019-12-16,1.9006
2019-12-17,1.9133
2019-12-18,1.9536
2019-12-19,1.9651
2019-12-20,1.9763
2019-12-23,1.9870
2019-12-24,1.9706
2019-12-25,.
2019-12-26,1.9665
2019-12-27,1.9447
2019-12-30,1.9548
2019-12-31,1.9838
2020-01-01,.
2020-01-02,1.9608
2020-01-03,1.8920
2020-01-06,1.8814
2020-01-07,1.8905
2020-01-08,1.9264
2020-01-09,1.9178
2020-01-10,1.8948
2020-01-13,1.9006
2020-01-14,1.8773
2020-01-15,1.8438
2020-01-16,1.8545
2020-01-17,1.8728
2020-01-20,.
2020-01-21,1.8338
2020-01-22,1.8233
2020-01-23,1.7926
2020-01-24,1.7509
2020-01-27,1.6658
2020-01-28,1.6714
2020-01-29,1.6258
2020-01-30,1.5954
2020-01-31,1.5399
2020-02-03,1.5492
2020-02-04,1.6077
2020-02-05,1.6626
2020-02-06,1.6651
2020-02-07,1.6249
2020-02-10,1.5905
2020-02-11,1.6040
2020-02-12,1.6438
2020-02-13,1.6424
2020-02-14,1.6247
2020-02-17,.
2020-02-18,1.5923
2020-02-19,1.5963
2020-02-20,1.5592
2020-02-21,1.4972
2020-02-24,1.4195
2020-02-25,1.3627
2020-02-26,1.3550
2020-02-27,1.3380
2020-02-28,1.2088
2020-03-02,1.1885
2020-03-03,1.1291
2020-03-04,1.1319
2020-03-05,1.0731
2020-03-06,0.9553
2020-03-09,0.7956
2020-03-10,0.9205
2020-03-11,0.9439
2020-03-12,0.9927
2020-03-13,1.0566
2020-03-16,0.8900
2020-03-17,1.0795
2020-03-18,1.2824
2020-03-19,1.3017
2020-03-20,1.1705
2020-03-23,0.9817
2020-03-24,1.0051
2020-03-25,1.0209
2020-03-26,0.9915
2020-03-27,0.9030
2020-03-30,0.8645
2020-03-31,0.8533
2020-04-01,0.7968
2020-04-02,0.7942
2020-04-03,0.7883
2020-04-06,0.8267
2020-04-07,0.8809
2020-04-08,0.9143
2020-04-09,0.8926
2020-04-10,.
2020-04-13,0.9249
2020-04-14,0.9321
2020-04-15,0.8442
2020-04-16,0.8119
2020-04-17,0.8290
2020-04-20,0.8082
2020-04-21,0.7691
2020-04-22,0.7921
2020-04-23,0.7815
2020-04-24,0.7725
2020-04-27,0.8124
2020-04-28,0.7859
2020-04-29,0.7784
2020-04-30,0.7891
2020-05-01,0.7928
2020-05-04,0.7900
2020-05-05,0.8012
2020-05-06,0.8447
2020-05-07,0.7892
2020-05-08,0.8207
2020-05-11,0.8568
2020-05-12,0.8435
2020-05-13,0.8111
2020-05-14,0.7904
2020-05-15,0.7969
2020-05-18,0.8635
2020-05-19,0.8620
2020-05-20,0.8528
2020-05-21,0.8471
2020-05-22,0.8244
2020-05-25,.
2020-05-26,0.8422
2020-05-27,0.8329
2020-05-28,0.8433
2020-05-29,0.8092
2020-06-01,0.8061
2020-06-02,0.8193
2020-06-03,0.8854
2020-06-04,0.9448
2020-06-05,1.0394
2020-06-08,1.0536
2020-06-09,1.0238
2020-06-10,0.9506
2020-06-11,0.8723
2020-06-12,0.8672
2020-06-15,0.8640
2020-06-16,0.8879
2020-06-17,0.8848
2020-06-18,0.8633
2020-06-19,0.8529
2020-06-22,0.8531
2020-06-23,0.8544
2020-06-24,0.8369
2020-06-25,0.8317
2020-06-26,0.7986
2020-06-29,0.7768
2020-06-30,0.7867
2020-07-01,0.8119
2020-07-02,0.8083
2020-07-03,.
2020-07-06,0.8200
2020-07-07,0.7926
2020-07-08,0.7916
2020-07-09,0.7592
2020-07-10,0.7741
2020-07-13,0.7685
2020-07-14,0.7551
2020-07-15,0.7574
2020-07-16,0.7483
2020-07-17,0.7554
2020-07-20,0.7501
2020-07-21,0.7349
2020-07-22,0.7289
2020-07-23,0.7152
2020-07-24,0.7108
2020-07-27,0.7245
2020-07-28,0.7008
2020-07-29,0.6891
2020-07-30,0.6616
2020-07-31,0.6477
2020-08-03,0.6522
2020-08-04,0.6210
2020-08-05,0.6357
2020-08-06,0.6322
2020-08-07,0.6502
2020-08-10,0.6658
2020-08-11,0.7112
2020-08-12,0.7582
2020-08-13,0.7979
2020-08-14,0.8079
2020-08-17,0.7986
2020-08-18,0.7860
2020-08-19,0.7913
2020-08-20,0.7727
2020-08-21,0.7609
2020-08-24,0.7659
2020-08-25,0.7896
2020-08-26,0.8037
2020-08-27,0.8449
2020-08-28,0.8529
2020-08-31,0.8479
2020-09-01,0.8200
2020-09-02,0.7998
2020-09-03,0.7664
2020-09-04,0.8219
2020-09-07,.
2020-09-08,0.8134
2020-09-09,0.8192
2020-09-10,0.8055
2020-09-11,0.7949
2020-09-14,0.7957
2020-09-15,0.7961
2020-09-16,0.8058
2020-09-17,0.8085
2020-09-18,0.8186
2020-09-21,0.8064
2020-09-22,0.7986
2020-09-23,0.8018
2020-09-24,0.7957
2020-09-25,0.7856
2020-09-28,0.7839
2020-09-29,0.7744
2020-09-30,0.7952
2020-10-01,0.7969
2020-10-02,0.8131
2020-10-05,0.8782
2020-10-06,0.8859
2020-10-07,0.9247
2020-10-08,0.9182
2020-10-09,0.9306
2020-10-12,.
2020-10-13,0.8989
2020-10-14,0.8829
2020-10-15,0.8890
2020-10-16,0.8980
2020-10-19,0.9170
2020-10-20,0.9460
2020-10-21,0.9761
2020-10-22,1.0192
2020-10-23,1.0245
2020-10-26,1.0016
2020-10-27,0.9775
2020-10-28,0.9691
2020-10-29,1.0095
2020-10-30,1.0483
2020-11-02,1.0532
2020-11-03,1.0777
2020-11-04,1.0009
2020-11-05,0.9790
2020-11-06,1.0016
2020-11-09,1.1011
2020-11-10,1.1545
2020-11-11,.
2020-11-12,1.0991
2020-11-13,1.0940
2020-11-16,1.1005
2020-11-17,1.0716
2020-11-18,1.0753
2020-11-19,1.0583
2020-11-20,1.0379
2020-11-23,1.0473
2020-11-24,1.0656
2020-11-25,1.0736
2020-11-26,.
2020-11-27,1.0487
2020-11-30,1.0419
2020-12-01,1.1005
2020-12-02,1.1372
2020-12-03,1.1325
2020-12-04,1.1681
2020-12-07,1.1539
2020-12-08,1.1417
2020-12-09,1.1563
2020-12-10,1.1382
2020-12-11,1.1185
2020-12-14,1.1152
2020-12-15,1.1304
2020-12-16,1.1389
2020-12-17,1.1530
2020-12-18,1.1661
2020-12-21,1.1736
2020-12-22,1.1577
2020-12-23,1.1791
2020-12-24,1.1700
2020-12-25,.
2020-12-28,1.1678
2020-12-29,1.1690
2020-12-30,1.1625
2020-12-31,1.1551
2021-01-01,.
2021-01-04,1.1489
2021-01-05,1.1700
2021-01-06,1.2439
2021-01-07,1.3044
2021-01-08,1.3641
2021-01-11,1.4068
2021-01-12,1.4257
2021-01-13,1.4036
2021-01-14,1.4294
2021-01-15,1.4087
2021-01-18,.
2021-01-19,1.4001
2021-01-20,1.3986
2021-01-21,1.4137
2021-01-22,1.4037
2021-01-25,1.3651
2021-01-26,1.3522
2021-01-27,1.3344
2021-01-28,1.3473
2021-01-29,1.3867
2021-02-01,1.3796
2021-02-02,1.4031
2021-02-03,1.4343
2021-02-04,1.4513
2021-02-05,1.4813
2021-02-08,1.4986
2021-02-09,1.5003
2021-02-10,1.4777
2021-02-11,1.4789
2021-02-12,1.5188
2021-02-15,.
2021-02-16,1.6122
2021-02-17,1.6516
2021-02-18,1.6685
2021-02-19,1.7222
2021-02-22,1.7653
2021-02-23,1.7818
2021-02-24,1.8095
2021-02-25,1.9830
2021-02-26,1.9735
2021-03-01,1.9654
2021-03-02,1.9361
2021-03-03,1.9781
2021-03-04,2.0528
2021-03-05,2.0954
2021-03-08,2.1526
2021-03-09,2.1361
2021-03-10,2.1075
2021-03-11,2.1028
2021-03-12,2.1881
2021-03-15,2.2059
2021-03-16,2.2135
2021-03-17,2.2176
2021-03-18,2.2919
2021-03-19,2.3495
2021-03-22,2.3366
2021-03-23,2.2917
2021-03-24,2.2651
2021-03-25,2.2626
2021-03-26,2.2956
2021-03-29,2.3502
2021-03-30,2.3770
2021-03-31,2.4041
2021-04-01,2.3778
2021-04-02,2.4023
2021-04-05,2.3992
2021-04-06,2.3464
2021-04-07,2.3347
2021-04-08,2.2965
2021-04-09,2.3068
2021-04-12,2.3195
2021-04-13,2.2802
2021-04-14,2.2782
2021-04-15,2.2085
2021-04-16,2.2075
2021-04-19,2.2191
2021-04-20,2.1926
2021-04-21,2.1791
2021-04-22,2.1704
2021-04-23,2.1813
2021-04-26,2.1841
2021-04-27,2.2200
2021-04-28,2.2286
2021-04-29,2.2460
2021-04-30,2.2532
2021-05-03,2.2388
2021-05-04,2.2213
2021-05-05,2.1964
2021-05-06,2.1854
2021-05-07,2.1813
2021-05-10,2.2007
2021-05-11,2.2204
2021-05-12,2.2827
2021-05-13,2.2823
2021-05-14,2.2656
2021-05-17,2.2688
2021-05-18,2.2651
2021-05-19,2.2995
2021-05-20,2.2693
2021-05-21,2.2634
2021-05-24,2.2445
2021-05-25,2.1987
2021-05-26,2.1907
2021-05-27,2.2121
2021-05-28,2.1956
2021-05-31,.
2021-06-01,2.2189
2021-06-02,2.2101
2021-06-03,2.2388
2021-06-04,2.1895
2021-06-07,2.1768
2021-06-08,2.1419
2021-06-09,2.0972
2021-06-10,2.0496
2021-06-11,2.0451
2021-06-14,2.0708
2021-06-15,2.0788
