DATE,THREEFF2
2019-11-22,1.5919
2019-11-25,1.5917
2019-11-26,1.5704
2019-11-27,1.6038
2019-11-28,.
2019-11-29,1.6110
2019-12-02,1.6328
2019-12-03,1.5443
2019-12-04,1.5745
2019-12-05,1.6008
2019-12-06,1.6478
2019-12-09,1.6570
2019-12-10,1.6755
2019-12-11,1.6396
2019-12-12,1.7092
2019-12-13,1.6589
2019-12-16,1.6935
2019-12-17,1.6957
2019-12-18,1.7058
2019-12-19,1.7001
2019-12-20,1.7020
2019-12-23,1.7138
2019-12-24,1.6859
2019-12-25,.
2019-12-26,1.6798
2019-12-27,1.6426
2019-12-30,1.6336
2019-12-31,1.6411
2020-01-01,.
2020-01-02,1.6147
2020-01-03,1.5518
2020-01-06,1.5496
2020-01-07,1.5606
2020-01-08,1.6019
2020-01-09,1.5963
2020-01-10,1.5827
2020-01-13,1.5932
2020-01-14,1.5758
2020-01-15,1.5486
2020-01-16,1.5609
2020-01-17,1.5725
2020-01-20,.
2020-01-21,1.5280
2020-01-22,1.5067
2020-01-23,1.4817
2020-01-24,1.4478
2020-01-27,1.3713
2020-01-28,1.3851
2020-01-29,1.3411
2020-01-30,1.3085
2020-01-31,1.2365
2020-02-03,1.2464
2020-02-04,1.3076
2020-02-05,1.3601
2020-02-06,1.3657
2020-02-07,1.3257
2020-02-10,1.2864
2020-02-11,1.3036
2020-02-12,1.3436
2020-02-13,1.3443
2020-02-14,1.3281
2020-02-17,.
2020-02-18,1.2969
2020-02-19,1.3003
2020-02-20,1.2685
2020-02-21,1.2067
2020-02-24,1.1139
2020-02-25,1.0400
2020-02-26,1.0061
2020-02-27,0.9605
2020-02-28,0.7540
2020-03-02,0.7133
2020-03-03,0.6217
2020-03-04,0.6037
2020-03-05,0.5439
2020-03-06,0.4731
2020-03-09,0.3834
2020-03-10,0.5843
2020-03-11,0.6593
2020-03-12,0.7149
2020-03-13,0.7777
2020-03-16,0.6347
2020-03-17,0.7845
2020-03-18,0.9468
2020-03-19,0.9058
2020-03-20,0.7523
2020-03-23,0.5816
2020-03-24,0.6487
2020-03-25,0.6392
2020-03-26,0.5920
2020-03-27,0.5011
2020-03-30,0.4566
2020-03-31,0.4326
2020-04-01,0.3873
2020-04-02,0.3840
2020-04-03,0.3820
2020-04-06,0.4193
2020-04-07,0.4572
2020-04-08,0.4468
2020-04-09,0.3931
2020-04-10,.
2020-04-13,0.3862
2020-04-14,0.3585
2020-04-15,0.2792
2020-04-16,0.2673
2020-04-17,0.2910
2020-04-20,0.2854
2020-04-21,0.2734
2020-04-22,0.2909
2020-04-23,0.2990
2020-04-24,0.2989
2020-04-27,0.3359
2020-04-28,0.3145
2020-04-29,0.3046
2020-04-30,0.3093
2020-05-01,0.3143
2020-05-04,0.3024
2020-05-05,0.3058
2020-05-06,0.3185
2020-05-07,0.2490
2020-05-08,0.2670
2020-05-11,0.2912
2020-05-12,0.2737
2020-05-13,0.2449
2020-05-14,0.2304
2020-05-15,0.2343
2020-05-18,0.2867
2020-05-19,0.2735
2020-05-20,0.2541
2020-05-21,0.2564
2020-05-22,0.2480
2020-05-25,.
2020-05-26,0.2626
2020-05-27,0.2597
2020-05-28,0.2635
2020-05-29,0.2327
2020-06-01,0.2305
2020-06-02,0.2414
2020-06-03,0.2940
2020-06-04,0.3218
2020-06-05,0.3781
2020-06-08,0.3758
2020-06-09,0.3365
2020-06-10,0.2715
2020-06-11,0.2317
2020-06-12,0.2425
2020-06-15,0.2450
2020-06-16,0.2642
2020-06-17,0.2606
2020-06-18,0.2498
2020-06-19,0.2479
2020-06-22,0.2527
2020-06-23,0.2532
2020-06-24,0.2318
2020-06-25,0.2347
2020-06-26,0.2122
2020-06-29,0.1971
2020-06-30,0.2015
2020-07-01,0.2220
2020-07-02,0.2136
2020-07-03,.
2020-07-06,0.2213
2020-07-07,0.2040
2020-07-08,0.2046
2020-07-09,0.1875
2020-07-10,0.2042
2020-07-13,0.2028
2020-07-14,0.1954
2020-07-15,0.1955
2020-07-16,0.1899
2020-07-17,0.1967
2020-07-20,0.1971
2020-07-21,0.1857
2020-07-22,0.1791
2020-07-23,0.1817
2020-07-24,0.1858
2020-07-27,0.2035
2020-07-28,0.1845
2020-07-29,0.1718
2020-07-30,0.1513
2020-07-31,0.1405
2020-08-03,0.1426
2020-08-04,0.1228
2020-08-05,0.1399
2020-08-06,0.1400
2020-08-07,0.1568
2020-08-10,0.1672
2020-08-11,0.2007
2020-08-12,0.2285
2020-08-13,0.2496
2020-08-14,0.2405
2020-08-17,0.2254
2020-08-18,0.2115
2020-08-19,0.2085
2020-08-20,0.1926
2020-08-21,0.1903
2020-08-24,0.2002
2020-08-25,0.2167
2020-08-26,0.2153
2020-08-27,0.2388
2020-08-28,0.2230
2020-08-31,0.2077
2020-09-01,0.1824
2020-09-02,0.1738
2020-09-03,0.1556
2020-09-04,0.2058
2020-09-07,.
2020-09-08,0.1964
2020-09-09,0.1987
2020-09-10,0.1844
2020-09-11,0.1751
2020-09-14,0.1797
2020-09-15,0.1807
2020-09-16,0.1882
2020-09-17,0.1886
2020-09-18,0.1959
2020-09-21,0.1876
2020-09-22,0.1815
2020-09-23,0.1787
2020-09-24,0.1798
2020-09-25,0.1741
2020-09-28,0.1734
2020-09-29,0.1674
2020-09-30,0.1826
2020-10-01,0.1845
2020-10-02,0.1961
2020-10-05,0.2384
2020-10-06,0.2349
2020-10-07,0.2579
2020-10-08,0.2398
2020-10-09,0.2490
2020-10-12,.
2020-10-13,0.2194
2020-10-14,0.2071
2020-10-15,0.2126
2020-10-16,0.2176
2020-10-19,0.2296
2020-10-20,0.2438
2020-10-21,0.2492
2020-10-22,0.2742
2020-10-23,0.2719
2020-10-26,0.2501
2020-10-27,0.2334
2020-10-28,0.2322
2020-10-29,0.2607
2020-10-30,0.2797
2020-11-02,0.2768
2020-11-03,0.2906
2020-11-04,0.2328
2020-11-05,0.2288
2020-11-06,0.2506
2020-11-09,0.3225
2020-11-10,0.3497
2020-11-11,.
2020-11-12,0.3006
2020-11-13,0.2998
2020-11-16,0.3052
2020-11-17,0.2853
2020-11-18,0.2909
2020-11-19,0.2821
2020-11-20,0.2722
2020-11-23,0.2798
2020-11-24,0.2883
2020-11-25,0.2806
2020-11-26,.
2020-11-27,0.2655
2020-11-30,0.2580
2020-12-01,0.3008
2020-12-02,0.3136
2020-12-03,0.2980
2020-12-04,0.3091
2020-12-07,0.2859
2020-12-08,0.2720
2020-12-09,0.2848
2020-12-10,0.2671
2020-12-11,0.2444
2020-12-14,0.2371
2020-12-15,0.2447
2020-12-16,0.2404
2020-12-17,0.2512
2020-12-18,0.2557
2020-12-21,0.2566
2020-12-22,0.2413
2020-12-23,0.2523
2020-12-24,0.2453
2020-12-25,.
2020-12-28,0.2433
2020-12-29,0.2428
2020-12-30,0.2384
2020-12-31,0.2325
2021-01-01,.
2021-01-04,0.2244
2021-01-05,0.2380
2021-01-06,0.2892
