DATE,THREEFF1
2019-11-22,1.6907
2019-11-25,1.6964
2019-11-26,1.6837
2019-11-27,1.7157
2019-11-28,.
2019-11-29,1.7197
2019-12-02,1.7284
2019-12-03,1.6545
2019-12-04,1.6749
2019-12-05,1.6906
2019-12-06,1.7234
2019-12-09,1.7309
2019-12-10,1.7476
2019-12-11,1.7231
2019-12-12,1.7725
2019-12-13,1.7316
2019-12-16,1.7561
2019-12-17,1.7540
2019-12-18,1.7514
2019-12-19,1.7432
2019-12-20,1.7441
2019-12-23,1.7562
2019-12-24,1.7335
2019-12-25,.
2019-12-26,1.7299
2019-12-27,1.6969
2019-12-30,1.6859
2019-12-31,1.6844
2020-01-01,.
2020-01-02,1.6614
2020-01-03,1.6133
2020-01-06,1.6171
2020-01-07,1.6254
2020-01-08,1.6572
2020-01-09,1.6530
2020-01-10,1.6448
2020-01-13,1.6568
2020-01-14,1.6470
2020-01-15,1.6302
2020-01-16,1.6381
2020-01-17,1.6448
2020-01-20,.
2020-01-21,1.6106
2020-01-22,1.5906
2020-01-23,1.5744
2020-01-24,1.5511
2020-01-27,1.4994
2020-01-28,1.5165
2020-01-29,1.4855
2020-01-30,1.4624
2020-01-31,1.4025
2020-02-03,1.4133
2020-02-04,1.4612
2020-02-05,1.4988
2020-02-06,1.5035
2020-02-07,1.4723
2020-02-10,1.4438
2020-02-11,1.4570
2020-02-12,1.4871
2020-02-13,1.4885
2020-02-14,1.4764
2020-02-17,.
2020-02-18,1.4534
2020-02-19,1.4555
2020-02-20,1.4333
2020-02-21,1.3854
2020-02-24,1.3073
2020-02-25,1.2451
2020-02-26,1.2096
2020-02-27,1.1555
2020-02-28,0.9479
2020-03-02,0.8793
2020-03-03,0.7653
2020-03-04,0.7016
2020-03-05,0.6177
2020-03-06,0.5407
2020-03-09,0.4569
2020-03-10,0.6282
2020-03-11,0.6905
2020-03-12,0.7184
2020-03-13,0.7525
2020-03-16,0.6411
2020-03-17,0.7275
2020-03-18,0.8024
2020-03-19,0.7356
2020-03-20,0.6081
2020-03-23,0.4870
2020-03-24,0.5510
2020-03-25,0.5278
2020-03-26,0.4818
2020-03-27,0.4180
2020-03-30,0.3992
2020-03-31,0.3884
2020-04-01,0.3620
2020-04-02,0.3618
2020-04-03,0.3634
2020-04-06,0.3963
2020-04-07,0.4224
2020-04-08,0.4113
2020-04-09,0.3709
2020-04-10,.
2020-04-13,0.3628
2020-04-14,0.3308
2020-04-15,0.2679
2020-04-16,0.2620
2020-04-17,0.2771
2020-04-20,0.2739
2020-04-21,0.2696
2020-04-22,0.2784
2020-04-23,0.2885
2020-04-24,0.2904
2020-04-27,0.3170
2020-04-28,0.3002
2020-04-29,0.2903
2020-04-30,0.2901
2020-05-01,0.2961
2020-05-04,0.2869
2020-05-05,0.2896
2020-05-06,0.2909
2020-05-07,0.2344
2020-05-08,0.2463
2020-05-11,0.2624
2020-05-12,0.2496
2020-05-13,0.2301
2020-05-14,0.2211
2020-05-15,0.2236
2020-05-18,0.2588
2020-05-19,0.2454
2020-05-20,0.2266
2020-05-21,0.2309
2020-05-22,0.2299
2020-05-25,.
2020-05-26,0.2422
2020-05-27,0.2442
2020-05-28,0.2467
2020-05-29,0.2255
2020-06-01,0.2248
2020-06-02,0.2333
2020-06-03,0.2699
2020-06-04,0.2798
2020-06-05,0.3092
2020-06-08,0.3043
2020-06-09,0.2752
2020-06-10,0.2310
2020-06-11,0.2137
2020-06-12,0.2261
2020-06-15,0.2310
2020-06-16,0.2437
2020-06-17,0.2400
2020-06-18,0.2332
2020-06-19,0.2325
2020-06-22,0.2376
2020-06-23,0.2374
2020-06-24,0.2185
2020-06-25,0.2238
2020-06-26,0.2091
2020-06-29,0.2005
2020-06-30,0.2038
2020-07-01,0.2165
2020-07-02,0.2075
2020-07-03,.
2020-07-06,0.2123
2020-07-07,0.2030
2020-07-08,0.2044
2020-07-09,0.1942
2020-07-10,0.2054
2020-07-13,0.2052
2020-07-14,0.2014
2020-07-15,0.2020
2020-07-16,0.1946
2020-07-17,0.1973
2020-07-20,0.2001
2020-07-21,0.1926
2020-07-22,0.1875
2020-07-23,0.1936
2020-07-24,0.1983
2020-07-27,0.2118
2020-07-28,0.1972
2020-07-29,0.1869
2020-07-30,0.1717
2020-07-31,0.1635
2020-08-03,0.1651
2020-08-04,0.1535
2020-08-05,0.1683
2020-08-06,0.1690
2020-08-07,0.1814
2020-08-10,0.1888
2020-08-11,0.2101
2020-08-12,0.2245
2020-08-13,0.2333
2020-08-14,0.2205
2020-08-17,0.2077
2020-08-18,0.1973
2020-08-19,0.1940
2020-08-20,0.1845
2020-08-21,0.1852
2020-08-24,0.1952
2020-08-25,0.2049
2020-08-26,0.1985
2020-08-27,0.2105
2020-08-28,0.1912
2020-08-31,0.1791
2020-09-01,0.1634
2020-09-02,0.1615
2020-09-03,0.1522
2020-09-04,0.1873
2020-09-07,.
2020-09-08,0.1819
2020-09-09,0.1830
2020-09-10,0.1714
2020-09-11,0.1640
2020-09-14,0.1687
2020-09-15,0.1688
2020-09-16,0.1741
2020-09-17,0.1710
2020-09-18,0.1754
2020-09-21,0.1698
2020-09-22,0.1656
2020-09-23,0.1618
2020-09-24,0.1647
2020-09-25,0.1616
2020-09-28,0.1621
2020-09-29,0.1577
2020-09-30,0.1674
2020-10-01,0.1675
2020-10-02,0.1744
2020-10-05,0.1993
2020-10-06,0.1934
2020-10-07,0.2062
2020-10-08,0.1890
2020-10-09,0.1960
2020-10-12,.
2020-10-13,0.1760
2020-10-14,0.1699
2020-10-15,0.1739
2020-10-16,0.1764
2020-10-19,0.1828
2020-10-20,0.1883
2020-10-21,0.1841
2020-10-22,0.1964
2020-10-23,0.1926
2020-10-26,0.1783
2020-10-27,0.1680
2020-10-28,0.1695
2020-10-29,0.1857
2020-10-30,0.1935
2020-11-02,0.1889
2020-11-03,0.1973
2020-11-04,0.1600
2020-11-05,0.1627
2020-11-06,0.1788
2020-11-09,0.2241
2020-11-10,0.2350
2020-11-11,.
2020-11-12,0.1994
2020-11-13,0.1995
2020-11-16,0.2038
2020-11-17,0.1910
2020-11-18,0.1952
2020-11-19,0.1892
2020-11-20,0.1840
2020-11-23,0.1880
2020-11-24,0.1928
2020-11-25,0.1820
2020-11-26,.
2020-11-27,0.1757
2020-11-30,0.1696
2020-12-01,0.1976
2020-12-02,0.2001
2020-12-03,0.1843
2020-12-04,0.1864
2020-12-07,0.1668
2020-12-08,0.1567
2020-12-09,0.1656
2020-12-10,0.1525
2020-12-11,0.1345
2020-12-14,0.1292
2020-12-15,0.1325
2020-12-16,0.1265
2020-12-17,0.1338
2020-12-18,0.1348
2020-12-21,0.1342
2020-12-22,0.1239
2020-12-23,0.1296
2020-12-24,0.1255
2020-12-25,.
2020-12-28,0.1270
2020-12-29,0.1274
2020-12-30,0.1225
2020-12-31,0.1182
2021-01-01,.
2021-01-04,0.1113
2021-01-05,0.1191
2021-01-06,0.1501
2021-01-07,0.1607
2021-01-08,0.1670
2021-01-11,0.1691
