DATE,THREEFF4
2019-11-22,1.5324
2019-11-25,1.5255
2019-11-26,1.4992
2019-11-27,1.5249
2019-11-28,.
2019-11-29,1.5326
2019-12-02,1.5707
2019-12-03,1.4858
2019-12-04,1.5150
2019-12-05,1.5435
2019-12-06,1.5914
2019-12-09,1.5983
2019-12-10,1.6120
2019-12-11,1.5716
2019-12-12,1.6489
2019-12-13,1.6018
2019-12-16,1.6438
2019-12-17,1.6532
2019-12-18,1.6843
2019-12-19,1.6896
2019-12-20,1.6975
2019-12-23,1.7087
2019-12-24,1.6868
2019-12-25,.
2019-12-26,1.6814
2019-12-27,1.6527
2019-12-30,1.6558
2019-12-31,1.6782
2020-01-01,.
2020-01-02,1.6531
2020-01-03,1.5835
2020-01-06,1.5750
2020-01-07,1.5854
2020-01-08,1.6254
2020-01-09,1.6176
2020-01-10,1.5971
2020-01-13,1.6046
2020-01-14,1.5821
2020-01-15,1.5489
2020-01-16,1.5612
2020-01-17,1.5778
2020-01-20,.
2020-01-21,1.5346
2020-01-22,1.5195
2020-01-23,1.4893
2020-01-24,1.4485
2020-01-27,1.3617
2020-01-28,1.3700
2020-01-29,1.3224
2020-01-30,1.2893
2020-01-31,1.2248
2020-02-03,1.2343
2020-02-04,1.2966
2020-02-05,1.3535
2020-02-06,1.3575
2020-02-07,1.3155
2020-02-10,1.2770
2020-02-11,1.2928
2020-02-12,1.3347
2020-02-13,1.3340
2020-02-14,1.3160
2020-02-17,.
2020-02-18,1.2824
2020-02-19,1.2864
2020-02-20,1.2494
2020-02-21,1.1845
2020-02-24,1.0977
2020-02-25,1.0318
2020-02-26,1.0141
2020-02-27,0.9872
2020-02-28,0.8269
2020-03-02,0.8032
2020-03-03,0.7344
2020-03-04,0.7368
2020-03-05,0.6811
2020-03-06,0.5815
2020-03-09,0.4465
2020-03-10,0.6072
2020-03-11,0.6530
2020-03-12,0.7095
2020-03-13,0.7785
2020-03-16,0.6141
2020-03-17,0.8007
2020-03-18,1.0044
2020-03-19,1.0048
2020-03-20,0.8593
2020-03-23,0.6674
2020-03-24,0.7085
2020-03-25,0.7169
