DATE,THREEFF7
2020-12-02,1.3899
2020-12-03,1.3864
2020-12-04,1.4235
2020-12-07,1.4106
2020-12-08,1.3989
2020-12-09,1.4133
2020-12-10,1.3957
2020-12-11,1.3768
2020-12-14,1.3739
2020-12-15,1.3895
2020-12-16,1.3991
2020-12-17,1.4132
2020-12-18,1.4268
2020-12-21,1.4349
2020-12-22,1.4193
2020-12-23,1.4413
2020-12-24,1.4322
2020-12-25,.
2020-12-28,1.4302
2020-12-29,1.4316
2020-12-30,1.4250
2020-12-31,1.4176
2021-01-01,.
2021-01-04,1.4117
2021-01-05,1.4329
2021-01-06,1.5072
2021-01-07,1.5694
2021-01-08,1.6309
2021-01-11,1.6754
2021-01-12,1.6961
2021-01-13,1.6748
2021-01-14,1.7015
2021-01-15,1.6819
2021-01-18,.
2021-01-19,1.6741
2021-01-20,1.6735
2021-01-21,1.6892
2021-01-22,1.6794
2021-01-25,1.6405
2021-01-26,1.6268
2021-01-27,1.6081
2021-01-28,1.6203
2021-01-29,1.6601
2021-02-01,1.6539
2021-02-02,1.6779
2021-02-03,1.7095
2021-02-04,1.7275
2021-02-05,1.7588
2021-02-08,1.7768
2021-02-09,1.7787
2021-02-10,1.7564
2021-02-11,1.7578
2021-02-12,1.7984
2021-02-15,.
2021-02-16,1.8929
2021-02-17,1.9353
2021-02-18,1.9537
2021-02-19,2.0094
2021-02-22,2.0544
2021-02-23,2.0726
2021-02-24,2.1011
2021-02-25,2.2740
2021-02-26,2.2661
2021-03-01,2.2604
2021-03-02,2.2323
2021-03-03,2.2745
2021-03-04,2.3506
2021-03-05,2.3947
2021-03-08,2.4527
2021-03-09,2.4367
2021-03-10,2.4083
2021-03-11,2.4043
2021-03-12,2.4909
2021-03-15,2.5103
2021-03-16,2.5192
2021-03-17,2.5254
2021-03-18,2.6012
2021-03-19,2.6606
2021-03-22,2.6490
2021-03-23,2.6043
2021-03-24,2.5778
2021-03-25,2.5752
2021-03-26,2.6084
