DATE,THREEFF8
2019-11-22,2.2049
2019-11-25,2.1949
2019-11-26,2.1687
2019-11-27,2.1859
2019-11-28,.
2019-11-29,2.1926
2019-12-02,2.2381
2019-12-03,2.1657
2019-12-04,2.1888
2019-12-05,2.2137
2019-12-06,2.2549
2019-12-09,2.2588
2019-12-10,2.2670
2019-12-11,2.2289
2019-12-12,2.3016
2019-12-13,2.2631
2019-12-16,2.3058
2019-12-17,2.3195
2019-12-18,2.3625
2019-12-19,2.3762
2019-12-20,2.3886
2019-12-23,2.3989
2019-12-24,2.3853
2019-12-25,.
2019-12-26,2.3818
2019-12-27,2.3634
2019-12-30,2.3761
2019-12-31,2.4071
2020-01-01,.
2020-01-02,2.3855
2020-01-03,2.3187
2020-01-06,2.3075
2020-01-07,2.3159
2020-01-08,2.3492
2020-01-09,2.3404
2020-01-10,2.3169
2020-01-13,2.3220
2020-01-14,2.2990
2020-01-15,2.2662
2020-01-16,2.2760
2020-01-17,2.2945
2020-01-20,.
2020-01-21,2.2582
2020-01-22,2.2498
2020-01-23,2.2198
2020-01-24,2.1787
2020-01-27,2.0964
2020-01-28,2.1010
2020-01-29,2.0573
2020-01-30,2.0288
2020-01-31,1.9784
2020-02-03,1.9875
2020-02-04,2.0430
2020-02-05,2.0956
2020-02-06,2.0975
2020-02-07,2.0590
2020-02-10,2.0272
2020-02-11,2.0394
2020-02-12,2.0773
2020-02-13,2.0758
2020-02-14,2.0585
2020-02-17,.
2020-02-18,2.0275
2020-02-19,2.0313
2020-02-20,1.9952
2020-02-21,1.9358
2020-02-24,1.8637
2020-02-25,1.8120
2020-02-26,1.8086
2020-02-27,1.7957
2020-02-28,1.6817
2020-03-02,1.6626
2020-03-03,1.6075
2020-03-04,1.6092
2020-03-05,1.5496
2020-03-06,1.4263
2020-03-09,1.2595
2020-03-10,1.3665
2020-03-11,1.3798
2020-03-12,1.4238
2020-03-13,1.4838
2020-03-16,1.3201
2020-03-17,1.5058
2020-03-18,1.7024
2020-03-19,1.7285
2020-03-20,1.6062
2020-03-23,1.4235
2020-03-24,1.4390
2020-03-25,1.4572
2020-03-26,1.4315
2020-03-27,1.3479
2020-03-30,1.3137
2020-03-31,1.3060
2020-04-01,1.2508
2020-04-02,1.2487
2020-04-03,1.2426
2020-04-06,1.2799
2020-04-07,1.3344
2020-04-08,1.3740
2020-04-09,1.3592
2020-04-10,.
2020-04-13,1.3971
2020-04-14,1.4093
2020-04-15,1.3235
2020-04-16,1.2892
2020-04-17,1.3040
2020-04-20,1.2815
2020-04-21,1.2396
2020-04-22,1.2621
2020-04-23,1.2490
2020-04-24,1.2389
2020-04-27,1.2775
2020-04-28,1.2512
2020-04-29,1.2442
2020-04-30,1.2551
2020-05-01,1.2587
2020-05-04,1.2577
2020-05-05,1.2698
2020-05-06,1.3162
2020-05-07,1.2655
2020-05-08,1.2978
2020-05-11,1.3343
2020-05-12,1.3223
2020-05-13,1.2910
2020-05-14,1.2703
2020-05-15,1.2770
2020-05-18,1.3427
2020-05-19,1.3431
2020-05-20,1.3358
2020-05-21,1.3291
2020-05-22,1.3053
2020-05-25,.
2020-05-26,1.3231
2020-05-27,1.3134
2020-05-28,1.3245
2020-05-29,1.2915
2020-06-01,1.2885
2020-06-02,1.3015
2020-06-03,1.3668
2020-06-04,1.4283
2020-06-05,1.5244
2020-06-08,1.5407
2020-06-09,1.5141
2020-06-10,1.4432
2020-06-11,1.3625
2020-06-12,1.3551
2020-06-15,1.3513
2020-06-16,1.3748
2020-06-17,1.3718
2020-06-18,1.3494
