DATE,THREEFF5
2019-11-22,1.6339
2019-11-25,1.6255
2019-11-26,1.5987
2019-11-27,1.6211
2019-11-28,.
2019-11-29,1.6285
2019-12-02,1.6704
2019-12-03,1.5897
2019-12-04,1.6168
2019-12-05,1.6443
2019-12-06,1.6902
2019-12-09,1.6960
2019-12-10,1.7074
2019-12-11,1.6673
2019-12-12,1.7439
2019-12-13,1.6999
2019-12-16,1.7428
2019-12-17,1.7542
2019-12-18,1.7911
2019-12-19,1.8002
2019-12-20,1.8101
2019-12-23,1.8210
2019-12-24,1.8023
2019-12-25,.
2019-12-26,1.7976
2019-12-27,1.7729
2019-12-30,1.7802
2019-12-31,1.8068
2020-01-01,.
2020-01-02,1.7828
2020-01-03,1.7133
2020-01-06,1.7034
2020-01-07,1.7132
2020-01-08,1.7509
2020-01-09,1.7426
2020-01-10,1.7204
2020-01-13,1.7270
2020-01-14,1.7038
2020-01-15,1.6702
2020-01-16,1.6816
2020-01-17,1.6994
2020-01-20,.
2020-01-21,1.6584
2020-01-22,1.6460
2020-01-23,1.6154
2020-01-24,1.5737
2020-01-27,1.4874
2020-01-28,1.4941
2020-01-29,1.4473
2020-01-30,1.4156
2020-01-31,1.3562
2020-02-03,1.3656
2020-02-04,1.4260
2020-02-05,1.4821
2020-02-06,1.4852
2020-02-07,1.4440
2020-02-10,1.4077
2020-02-11,1.4222
2020-02-12,1.4631
2020-02-13,1.4620
2020-02-14,1.4441
2020-02-17,.
2020-02-18,1.4110
2020-02-19,1.4150
2020-02-20,1.3778
2020-02-21,1.3142
2020-02-24,1.2325
2020-02-25,1.1716
2020-02-26,1.1599
2020-02-27,1.1390
2020-02-28,0.9968
2020-03-02,0.9754
2020-03-03,0.9123
2020-03-04,0.9154
2020-03-05,0.8579
2020-03-06,0.7472
2020-03-09,0.5969
2020-03-10,0.7370
2020-03-11,0.7696
2020-03-12,0.8220
2020-03-13,0.8885
2020-03-16,0.7219
2020-03-17,0.9116
2020-03-18,1.1164
2020-03-19,1.1285
2020-03-20,0.9907
2020-03-23,0.7995
2020-03-24,0.8302
2020-03-25,0.8432
2020-03-26,0.8108
2020-03-27,0.7191
2020-03-30,0.6773
2020-03-31,0.6630
2020-04-01,0.6064
2020-04-02,0.6034
2020-04-03,0.5978
2020-04-06,0.6366
2020-04-07,0.6896
2020-04-08,0.7164
2020-04-09,0.6884
2020-04-10,.
2020-04-13,0.7150
2020-04-14,0.7170
2020-04-15,0.6286
2020-04-16,0.5988
2020-04-17,0.6177
2020-04-20,0.5990
2020-04-21,0.5632
2020-04-22,0.5862
2020-04-23,0.5783
2020-04-24,0.5705
