DATE,THREEFF10
2019-11-22,2.6443
2019-11-25,2.6342
2019-11-26,2.6087
2019-11-27,2.6246
2019-11-28,.
2019-11-29,2.6310
2019-12-02,2.6760
2019-12-03,2.6069
2019-12-04,2.6287
2019-12-05,2.6525
2019-12-06,2.6918
2019-12-09,2.6953
2019-12-10,2.7026
2019-12-11,2.6658
2019-12-12,2.7361
2019-12-13,2.6996
2019-12-16,2.7411
2019-12-17,2.7549
2019-12-18,2.7981
2019-12-19,2.8124
2019-12-20,2.8249
2019-12-23,2.8349
2019-12-24,2.8226
2019-12-25,.
2019-12-26,2.8193
2019-12-27,2.8025
2019-12-30,2.8160
2019-12-31,2.8471
2020-01-01,.
2020-01-02,2.8264
2020-01-03,2.7617
2020-01-06,2.7505
2020-01-07,2.7585
2020-01-08,2.7902
2020-01-09,2.7815
2020-01-10,2.7583
2020-01-13,2.7631
2020-01-14,2.7406
2020-01-15,2.7087
2020-01-16,2.7180
2020-01-17,2.7362
2020-01-20,.
2020-01-21,2.7017
2020-01-22,2.6941
2020-01-23,2.6650
2020-01-24,2.6250
2020-01-27,2.5455
2020-01-28,2.5495
2020-01-29,2.5074
2020-01-30,2.4803
2020-01-31,2.4327
2020-02-03,2.4416
2020-02-04,2.4948
2020-02-05,2.5456
2020-02-06,2.5472
2020-02-07,2.5101
2020-02-10,2.4798
2020-02-11,2.4914
2020-02-12,2.5279
2020-02-13,2.5262
2020-02-14,2.5095
2020-02-17,.
2020-02-18,2.4796
2020-02-19,2.4833
2020-02-20,2.4482
2020-02-21,2.3911
2020-02-24,2.3225
2020-02-25,2.2736
2020-02-26,2.2719
2020-02-27,2.2608
2020-02-28,2.1546
2020-03-02,2.1361
2020-03-03,2.0836
2020-03-04,2.0847
2020-03-05,2.0259
2020-03-06,1.9029
2020-03-09,1.7368
2020-03-10,1.8350
2020-03-11,1.8444
2020-03-12,1.8857
2020-03-13,1.9429
2020-03-16,1.7836
2020-03-17,1.9640
2020-03-18,2.1542
2020-03-19,2.1822
2020-03-20,2.0657
2020-03-23,1.8889
2020-03-24,1.9012
2020-03-25,1.9199
2020-03-26,1.8961
2020-03-27,1.8159
2020-03-30,1.7841
2020-03-31,1.7779
2020-04-01,1.7243
2020-04-02,1.7224
2020-04-03,1.7164
2020-04-06,1.7526
2020-04-07,1.8061
2020-04-08,1.8472
2020-04-09,1.8353
2020-04-10,.
2020-04-13,1.8744
2020-04-14,1.8882
2020-04-15,1.8049
