DATE,THREEFF3
2019-11-22,1.5158
2019-11-25,1.5115
2019-11-26,1.4866
2019-11-27,1.5164
2019-11-28,.
2019-11-29,1.5242
2019-12-02,1.5558
2019-12-03,1.4672
2019-12-04,1.4981
2019-12-05,1.5269
2019-12-06,1.5762
2019-12-09,1.5845
2019-12-10,1.6008
2019-12-11,1.5611
2019-12-12,1.6372
2019-12-13,1.5873
2019-12-16,1.6269
2019-12-17,1.6332
2019-12-18,1.6555
2019-12-19,1.6556
2019-12-20,1.6606
2019-12-23,1.6721
2019-12-24,1.6465
2019-12-25,.
2019-12-26,1.6405
2019-12-27,1.6070
2019-12-30,1.6043
2019-12-31,1.6204
2020-01-01,.
2020-01-02,1.5942
2020-01-03,1.5260
2020-01-06,1.5199
2020-01-07,1.5309
2020-01-08,1.5728
2020-01-09,1.5659
2020-01-10,1.5481
2020-01-13,1.5569
2020-01-14,1.5361
2020-01-15,1.5045
2020-01-16,1.5174
2020-01-17,1.5321
2020-01-20,.
2020-01-21,1.4869
2020-01-22,1.4686
2020-01-23,1.4398
2020-01-24,1.4011
2020-01-27,1.3162
2020-01-28,1.3269
2020-01-29,1.2795
2020-01-30,1.2454
2020-01-31,1.1755
2020-02-03,1.1851
2020-02-04,1.2486
2020-02-05,1.3052
2020-02-06,1.3102
2020-02-07,1.2680
2020-02-10,1.2278
2020-02-11,1.2447
2020-02-12,1.2869
2020-02-13,1.2869
2020-02-14,1.2693
2020-02-17,.
2020-02-18,1.2358
2020-02-19,1.2396
2020-02-20,1.2040
2020-02-21,1.1388
2020-02-24,1.0471
2020-02-25,0.9757
2020-02-26,0.9500
2020-02-27,0.9148
2020-02-28,0.7312
2020-03-02,0.7024
2020-03-03,0.6248
2020-03-04,0.6225
2020-03-05,0.5677
2020-03-06,0.4830
2020-03-09,0.3696
2020-03-10,0.5543
2020-03-11,0.6164
2020-03-12,0.6759
2020-03-13,0.7454
2020-03-16,0.5875
2020-03-17,0.7639
2020-03-18,0.9579
2020-03-19,0.9407
2020-03-20,0.7878
2020-03-23,0.6001
2020-03-24,0.6546
2020-03-25,0.6559
2020-03-26,0.6136
2020-03-27,0.5173
2020-03-30,0.4690
2020-03-31,0.4461
2020-04-01,0.3932
2020-04-02,0.3894
2020-04-03,0.3854
2020-04-06,0.4242
2020-04-07,0.4699
2020-04-08,0.4732
2020-04-09,0.4263
2020-04-10,.
2020-04-13,0.4319
2020-04-14,0.4157
2020-04-15,0.3299
2020-04-16,0.3103
2020-04-17,0.3338
2020-04-20,0.3230
2020-04-21,0.3009
2020-04-22,0.3220
2020-04-23,0.3239
2020-04-24,0.3206
2020-04-27,0.3610
2020-04-28,0.3368
2020-04-29,0.3276
2020-04-30,0.3353
2020-05-01,0.3397
2020-05-04,0.3299
2020-05-05,0.3360
2020-05-06,0.3607
2020-05-07,0.2924
2020-05-08,0.3160
2020-05-11,0.3458
2020-05-12,0.3285
2020-05-13,0.2964
2020-05-14,0.2788
2020-05-15,0.2838
2020-05-18,0.3446
2020-05-19,0.3349
2020-05-20,0.3185
2020-05-21,0.3179
2020-05-22,0.3035
2020-05-25,.
2020-05-26,0.3196
2020-05-27,0.3137
2020-05-28,0.3199
2020-05-29,0.2858
2020-06-01,0.2830
2020-06-02,0.2952
2020-06-03,0.3557
2020-06-04,0.3972
2020-06-05,0.4713
2020-06-08,0.4747
2020-06-09,0.4360
2020-06-10,0.3637
2020-06-11,0.3070
2020-06-12,0.3126
2020-06-15,0.3129
2020-06-16,0.3350
2020-06-17,0.3315
2020-06-18,0.3165
2020-06-19,0.3117
2020-06-22,0.3150
2020-06-23,0.3159
2020-06-24,0.2951
2020-06-25,0.2949
2020-06-26,0.2673
2020-06-29,0.2488
2020-06-30,0.2551
2020-07-01,0.2789
2020-07-02,0.2720
2020-07-03,.
2020-07-06,0.2816
2020-07-07,0.2594
2020-07-08,0.2594
2020-07-09,0.2359
2020-07-10,0.2533
2020-07-13,0.2503
2020-07-14,0.2404
2020-07-15,0.2410
2020-07-16,0.2346
2020-07-17,0.2424
2020-07-20,0.2406
2020-07-21,0.2271
2020-07-22,0.2203
2020-07-23,0.2171
2020-07-24,0.2185
2020-07-27,0.2360
2020-07-28,0.2144
2020-07-29,0.2014
2020-07-30,0.1775
2020-07-31,0.1652
2020-08-03,0.1681
2020-08-04,0.1429
2020-08-05,0.1599
2020-08-06,0.1587
2020-08-07,0.1769
2020-08-10,0.1896
2020-08-11,0.2296
2020-08-12,0.2664
2020-08-13,0.2959
2020-08-14,0.2935
2020-08-17,0.2796
2020-08-18,0.2653
2020-08-19,0.2649
2020-08-20,0.2467
2020-08-21,0.2408
2020-08-24,0.2493
