DATE,THREEFF9
2019-11-22,2.4252
2019-11-25,2.4151
2019-11-26,2.3892
2019-11-27,2.4056
2019-11-28,.
2019-11-29,2.4122
2019-12-02,2.4575
2019-12-03,2.3869
2019-12-04,2.4093
2019-12-05,2.4337
2019-12-06,2.4738
2019-12-09,2.4775
2019-12-10,2.4851
2019-12-11,2.4477
2019-12-12,2.5192
2019-12-13,2.4818
2019-12-16,2.5239
2019-12-17,2.5377
2019-12-18,2.5810
2019-12-19,2.5952
2019-12-20,2.6077
2019-12-23,2.6178
2019-12-24,2.6050
2019-12-25,.
2019-12-26,2.6016
2019-12-27,2.5841
2019-12-30,2.5973
2019-12-31,2.6286
2020-01-01,.
2020-01-02,2.6074
2020-01-03,2.5417
2020-01-06,2.5305
2020-01-07,2.5386
2020-01-08,2.5710
2020-01-09,2.5623
2020-01-10,2.5389
2020-01-13,2.5438
2020-01-14,2.5210
2020-01-15,2.4887
2020-01-16,2.4982
2020-01-17,2.5166
2020-01-20,.
2020-01-21,2.4813
2020-01-22,2.4734
2020-01-23,2.4438
2020-01-24,2.4032
2020-01-27,2.3223
2020-01-28,2.3266
2020-01-29,2.2837
2020-01-30,2.2560
2020-01-31,2.2072
2020-02-03,2.2161
2020-02-04,2.2704
2020-02-05,2.3221
2020-02-06,2.3238
2020-02-07,2.2861
2020-02-10,2.2551
2020-02-11,2.2669
2020-02-12,2.3041
2020-02-13,2.3025
2020-02-14,2.2855
2020-02-17,.
2020-02-18,2.2551
2020-02-19,2.2588
2020-02-20,2.2232
2020-02-21,2.1650
2020-02-24,2.0948
2020-02-25,2.0447
2020-02-26,2.0423
2020-02-27,2.0305
2020-02-28,1.9210
2020-03-02,1.9022
2020-03-03,1.8485
2020-03-04,1.8499
2020-03-05,1.7905
2020-03-06,1.6670
2020-03-09,1.4999
2020-03-10,1.6018
2020-03-11,1.6127
2020-03-12,1.6552
2020-03-13,1.7137
2020-03-16,1.5521
2020-03-17,1.7352
2020-03-18,1.9286
2020-03-19,1.9560
2020-03-20,1.8368
2020-03-23,1.6571
2020-03-24,1.6707
2020-03-25,1.6893
2020-03-26,1.6647
2020-03-27,1.5829
2020-03-30,1.5500
2020-03-31,1.5432
2020-04-01,1.4888
2020-04-02,1.4869
2020-04-03,1.4808
2020-04-06,1.5175
2020-04-07,1.5716
2020-04-08,1.6123
2020-04-09,1.5993
2020-04-10,.
2020-04-13,1.6381
2020-04-14,1.6513
2020-04-15,1.5668
2020-04-16,1.5323
2020-04-17,1.5465
2020-04-20,1.5237
2020-04-21,1.4816
2020-04-22,1.5038
2020-04-23,1.4902
2020-04-24,1.4799
2020-04-27,1.5179
2020-04-28,1.4919
2020-04-29,1.4850
2020-04-30,1.4959
2020-05-01,1.4994
2020-05-04,1.4988
2020-05-05,1.5111
2020-05-06,1.5577
2020-05-07,1.5085
2020-05-08,1.5407
2020-05-11,1.5770
2020-05-12,1.5655
2020-05-13,1.5347
2020-05-14,1.5141
2020-05-15,1.5208
2020-05-18,1.5858
2020-05-19,1.5866
2020-05-20,1.5798
2020-05-21,1.5730
2020-05-22,1.5491
2020-05-25,.
2020-05-26,1.5667
2020-05-27,1.5570
2020-05-28,1.5682
2020-05-29,1.5357
2020-06-01,1.5328
2020-06-02,1.5457
2020-06-03,1.6102
2020-06-04,1.6716
2020-06-05,1.7672
2020-06-08,1.7839
2020-06-09,1.7582
2020-06-10,1.6885
2020-06-11,1.6080
2020-06-12,1.6002
2020-06-15,1.5962
2020-06-16,1.6194
2020-06-17,1.6165
2020-06-18,1.5941
2020-06-19,1.5826
2020-06-22,1.5819
2020-06-23,1.5832
2020-06-24,1.5674
2020-06-25,1.5611
2020-06-26,1.5280
2020-06-29,1.5064
2020-06-30,1.5169
2020-07-01,1.5412
2020-07-02,1.5387
2020-07-03,.
2020-07-06,1.5504
2020-07-07,1.5230
2020-07-08,1.5217
2020-07-09,1.4883
2020-07-10,1.5016
2020-07-13,1.4955
2020-07-14,1.4819
2020-07-15,1.4846
2020-07-16,1.4749
2020-07-17,1.4814
